,Unnamed: 0,result,Unnamed: 0.1
0,0,홍하,3
1,1,즉렁천 `,4
2,2,유군,5
3,3,무드점,6
4,4,유서리 `,8
5,5,우신동,9
6,6,울어리,13
7,7,돕 스래,14
8,8,그프 중다,16
9,9,지건,17
10,10,울도,18
11,11,돕반,19
12,12,=' =,20
13,13,어박목,21
14,14,울리,22
15,15,울곡,23
16,16,울길리,24
17,17,들자리 `,25
18,18,울기,26
19,19,"""'|",28
20,20,'성리,29
21,21,유구선 `,31
22,22,왼유문,33
23,23,유동리 `,35
24,24,유전 `,38
25,25,뉴존,39
26,26,예움 또수,41
27,27,어무# `,42
28,28,여의농,43
29,29,=로,44
30,30,여린리,45
31,31,모동도,46
32,32,- 근,47
33,33,여서드,50
34,34,연스리,54
35,35,연산선,58
36,36,연편결도,59
37,37,연평등,62
38,38,연현면사무소,63
39,39,연락 `,64
40,40,던지돈,68
41,41,기증|] `,72
42,42,연화 동,74
43,43,연화 `,76
44,44,',77
45,45,연경등 _,80
46,46,용월리 ,83
47,47,"""년",85
48,48,용운리 `,87
49,49,영수 `,92
50,50,용수동 `,94
51,51,용성선,96
52,52,용성 .,97
53,53,_ - :,102
54,54,영신리 `,104
55,55,같산리,105
56,56,영신_,106
57,57,응산 골,110
58,58,용산역 :,112
59,59,증산,113
60,60,연령 .,116
61,61,콤느리,119
62,62,열동,122
63,63,연곡 천,124
64,64,용림전,128
65,65,"'1= "" ]",133
66,66,용필픽,134
67,67,용곳,140
68,68,@중편,142
69,69,물전리,145
70,70,엉선리,146
71,71,용자,157
72,72,품 출 니,163
73,73,콩화동 `,164
74,74,음료리 `,165
75,75,염흘리,166
76,76,영웅,167
77,77,여름,168
78,78,'@:,169
79,79,6자적다,170
80,80,용혼리,171
81,81,용흐리,173
82,82,용으농,174
83,83,용하리 `,175
84,84,엉하도,178
85,85,용손,181
86,86,연광군 `,184
87,87,꼴부,186
88,88,@곡돈,187
89,89,슬골,188
90,90,용기원 산 `,189
91,91,용 두산,191
92,92,엉등 보 |,193
93,93,영등모동,194
94,94,하다,195
95,95,용두 `,196
96,96,금그,198
97,97,등등다 -,199
98,98,영무근 _,202
99,99,영격 `,203
